bottle,vibration_index_red,fill_level_grams_red,vibration_index_blue,fill_level_grams_blue,vibration_index_green,fill_level_grams_green,temperature_green,temperature_red,temperature_blue
368,222.5324067419149,54.02968734296481,31.62331228387393,452.5123952803888,213.4322016742264,768.3495347818836,34.128205789306534,33.7858522125762,33.48277140589336
369,213.8458436757764,38.183542939709646,23.66577482163566,449.6111469328134,206.6112147651164,752.6500207633527,34.81671851634826,35.23590893724895,33.70533239248918
370,215.491496783298,21.69200338672727,24.171143871694422,446.5398182990803,209.33910146352503,736.6375044111704,33.4660635449482,34.20806857798178,34.57881094056574
371,-15.927027536999148,0.0,25.572353633868957,443.3807264658957,206.28055427923067,721.2604263051159,34.927253294117584,32.963513768499574,33.94516651351873
372,-20.63941330258717,0.0,26.98664259305757,440.1275359437427,199.8680975085,705.5592132927812,35.687164633367715,35.319706651293586,34.36551853247129
373,-17.696372285023017,0.0,35.94522582476473,436.2531557461796,201.02881676653263,689.4459810082548,35.640321372078645,33.84818614251151,34.121838863149094
374,-17.25973690193213,0.0,25.467985038672012,433.11693199301607,213.62916879750563,672.4358089417923,35.822638958841594,33.629868450966065,34.16134189922675
375,-18.08205299507786,0.0,32.73128862268016,429.5619212429409,199.07267787366945,656.6786706246936,33.788306726728564,34.04102649753893,33.57677922946059
376,-18.083474770631767,0.0,26.12408053773688,426.1669367460723,207.6392393475153,641.2557212329942,33.691788967485216,34.041737385315884,36.15031303000915
377,-18.56285734950039,0.0,31.102730446739592,422.3579601120449,208.69933512381488,625.7956476722295,33.80276719378226,34.281428674750195,34.73398228043047
378,-18.9367123632716,0.0,34.294028819578195,418.6550056082242,206.448388792762,610.5831293718984,32.758763156760686,34.4683561816358,33.45859366326568
379,-18.40526566068664,0.0,30.18929783530855,415.3995602804426,206.2997453449106,595.5172323828405,35.33741650099879,34.20263283034332,33.19128554355656
380,-16.880723881587258,0.0,34.77032602816967,411.80112397346,208.47008959642747,579.3289954997098,33.8428098224552,33.44036194079363,33.689107410830054
381,-22.3803581138872,0.0,33.939321198939325,408.1432745278333,209.0395621893157,563.7126068232242,34.43066046101151,36.1901790569436,34.15413645272848
382,-19.588859359115204,0.0,31.511012904154537,404.7205316487628,212.81456079169016,547.5182617961306,34.81058080040794,34.7944296795576,33.28634043362116
383,-16.476286220190246,0.0,33.49150260488376,401.20917474195926,212.27086254630456,531.3600210167901,33.58020189502615,33.23814311009512,33.62358196644034
384,-21.534241304536465,0.0,26.16621008047508,397.96717323564974,213.2685615886672,515.7915175446761,32.98161466165416,35.76712065226823,35.02709400636754
385,-20.94878102017745,0.0,29.861388828457603,394.6155539210703,202.87128558999416,500.8803165458604,35.33877102744705,35.474390510088725,33.004386590204845
386,-20.477741171381453,0.0,35.143118230216885,391.16271506633984,210.3357800144155,484.5344109673192,34.2579700484351,35.23887058569073,32.6049275843869
387,-20.182283430519877,0.0,22.269191081175013,388.3411049270016,210.76546469226597,468.605443855736,34.68853703065613,35.09114171525994,34.52939609320223
388,-20.81348263599338,0.0,30.70033115711256,384.59897711883866,216.6206911640873,452.36544962768994,32.60024512205944,35.40674131799669,35.782119607092646
389,-18.88424342140391,0.0,36.361004707251546,380.5055946515173,207.28096708151148,437.4439979771135,34.69335627877883,34.442121710701954,34.467590770706245
390,-22.657408564554103,0.0,21.852941480769584,377.45170353460287,199.0772433413405,422.1991552524983,34.260074152777875,36.32870428227705,35.28035386648567
391,-18.04935716193326,0.0,32.0913829161014,373.7585226014663,210.92258651756347,406.1751103224918,35.452707431814154,34.02467858096663,34.19014955160874
392,-17.86166537591373,0.0,27.85116883187736,370.59671673537576,202.91994620940093,390.3138118623455,34.41252990935381,33.930832687956865,33.267198697103865
393,-17.02919417787504,0.0,28.48016017603554,367.1478725586229,209.01685999071037,374.7393484639531,32.70001667149219,33.51459708893752,35.75980339154761
394,-17.0915760228726,0.0,32.225058471921315,363.1355813053208,207.0248085047293,359.8552707992621,34.3805422520002,33.5457880114363,36.0299206320679
395,-19.687493880151838,0.0,27.832972522525665,359.70594041445423,209.56089588907363,343.85369481289024,35.7162558677594,34.84374694007592,33.98142100674059
396,221.8157033993292,782.9110179811538,19.89100072064904,356.874662623449,213.316609859406,327.13838304061017,34.524577255708905,34.746411703000305,34.9919141822812
397,215.54832764081115,766.1055934359943,33.666578220931925,353.06741654351544,203.989954105139,311.8525736976239,32.913273581739915,36.22539275939237,34.48494124799467
398,221.96845346972583,748.4307179148874,29.487761595562585,349.6229235308439,207.86023559333657,296.6443310365028,35.84581951138524,34.123191213683164,34.35305566644787
399,212.03682916049303,732.5102613287663,37.694468988255146,345.7300598652818,207.9613582756906,280.4427053108297,33.31343883161912,33.78987379801265,33.61826131420467
400,221.2609058442465,716.209149842187,34.763161844874645,342.1438423364404,207.3166880250029,265.1353506952031,35.55253789071078,33.185508145940005,33.43173141257328
401,214.98552634802127,700.526011585497,36.313162596423645,338.3929306554832,205.64601420858432,249.16860997865223,33.82974607528557,33.90341397734824,34.046474837053445
402,224.89583545347296,683.8678492378525,29.662412004073733,334.9398218744547,204.92138621710856,233.84475011361477,35.19719342965394,33.67784714928913,34.68729110254978
403,216.23413262252265,667.6485347128207,28.65366833804723,331.1629162583096,206.50776473982123,217.9031877165833,34.43171159846491,35.61428252700828,37.06636385076694
404,206.74970083627863,651.3479139613028,28.577283884019792,327.9404577562519,212.1339194401245,202.04031526662192,33.60426760283597,34.42152455459979,31.62589199539306
405,223.8846206183809,634.5112771828732,29.01436230251407,324.64295297008704,211.59776266341288,186.5224277596504,34.180622119096014,33.75417639778525,35.747707761862586
406,217.60187652304737,618.3902184441816,27.63553140825508,321.17558708694287,214.53055171677235,170.41874173503092,35.09241721240963,34.0535608825835,34.628163998577214
407,225.98677192159383,601.5799375421642,36.77855228733928,317.2684837564146,210.4692990105276,154.04139522304524,36.05321949569119,33.91325963923652,34.02510741860433
408,221.5988031378735,585.14473598047,27.66546361991312,314.00815880286194,203.29290101829568,137.60356722776217,36.99262048363232,33.89389893387264,34.337535526896346
409,213.84098682484867,569.1560226908863,27.42111524530809,310.7175024182184,214.17453871143587,120.3547351873635,34.181255589608064,34.58870602561167,34.47080646627756
410,208.74579189824848,552.9661381787106,38.21641644434248,306.9405334932516,205.47483132294207,104.8496535197019,35.40385484462347,36.26181924066576,32.51695973909524
411,220.94381752731584,535.4675433432197,42.28418961874672,303.0439072054591,215.8096811786088,88.2276466998037,34.24886276262942,33.8300521224168,33.05871034714507
412,219.6991139023576,519.1214620346391,25.72425621488673,300.06795484188603,199.3795312131942,73.01948632993673,36.13984157944736,34.64820637535633,33.892756893581414
413,219.6766351221803,502.3998842799674,31.39057726567371,296.52124179401704,211.8652783375693,56.48122727071049,33.33077560613051,34.55823234016462,34.72469885203031
